Experiment_Number,Episode,Reward,Total_Reward
1,1,0,
1,2,0,
1,3,0,
1,4,0,
1,5,8,
1,6,0,
1,7,0,
1,8,0,
1,9,0,
1,10,26,
1,11,0,
1,12,0,
1,13,0,
1,14,0,
1,15,4,
1,16,24,
1,17,18,
1,18,28,
1,19,24,
1,20,24,
1,21,0,
1,22,0,
1,23,0,
1,24,0,
1,25,0,
1,26,0,
1,27,24,
1,28,18,
1,29,20,
1,30,22,
1,31,16,
1,32,22,
1,33,22,
1,34,0,
1,35,16,
1,36,26,
1,37,18,
1,38,20,
1,39,20,
1,40,24,
1,41,26,
1,42,28,
1,43,20,
1,44,20,
1,45,24,
1,46,24,
1,47,28,
1,48,28,
1,49,22,
1,50,28,672
2,1,0,
2,2,0,
2,3,0,
2,4,0,
2,5,0,
2,6,0,
2,7,0,
2,8,0,
2,9,0,
2,10,0,
2,11,0,
2,12,0,
2,13,0,
2,14,0,
2,15,0,
2,16,14,
2,17,0,
2,18,0,
2,19,18,
2,20,0,
2,21,0,
2,22,0,
2,23,4,
2,24,4,
2,25,0,
2,26,0,
2,27,6,
2,28,28,
2,29,28,
2,30,22,
2,31,26,
2,32,28,
2,33,28,
2,34,24,
2,35,24,
2,36,16,
2,37,28,
2,38,22,
2,39,24,
2,40,24,
2,41,26,
2,42,26,
2,43,14,
2,44,20,
2,45,28,
2,46,28,
2,47,20,
2,48,26,
2,49,26,
2,50,28,610
3,1,0,
3,2,0,
3,3,0,
3,4,0,
3,5,0,
3,6,0,
3,7,2,
3,8,0,
3,9,0,
3,10,0,
3,11,0,
3,12,0,
3,13,0,
3,14,0,
3,15,0,
3,16,0,
3,17,0,
3,18,0,
3,19,0,
3,20,0,
3,21,0,
3,22,0,
3,23,0,
3,24,0,
3,25,0,
3,26,0,
3,27,0,
3,28,0,
3,29,0,
3,30,12,
3,31,0,
3,32,0,
3,33,0,
3,34,0,
3,35,0,
3,36,0,
3,37,0,
3,38,0,
3,39,0,
3,40,0,
3,41,0,
3,42,0,
3,43,0,
3,44,0,
3,45,0,
3,46,0,
3,47,0,
3,48,4,
3,49,20,
3,50,28,66
4,1,0,
4,2,0,
4,3,0,
4,4,0,
4,5,0,
4,6,0,
4,7,0,
4,8,0,
4,9,0,
4,10,0,
4,11,0,
4,12,0,
4,13,0,
4,14,0,
4,15,0,
4,16,0,
4,17,0,
4,18,0,
4,19,0,
4,20,0,
4,21,0,
4,22,0,
4,23,0,
4,24,0,
4,25,0,
4,26,0,
4,27,0,
4,28,0,
4,29,0,
4,30,0,
4,31,0,
4,32,0,
4,33,0,
4,34,0,
4,35,0,
4,36,0,
4,37,12,
4,38,0,
4,39,0,
4,40,0,
4,41,0,
4,42,0,
4,43,12,
4,44,0,
4,45,0,
4,46,14,
4,47,28,
4,48,28,
4,49,26,
4,50,28,148
5,1,0,
5,2,0,
5,3,0,
5,4,0,
5,5,0,
5,6,0,
5,7,6,
5,8,0,
5,9,0,
5,10,0,
5,11,0,
5,12,0,
5,13,0,
5,14,0,
5,15,0,
5,16,0,
5,17,0,
5,18,2,
5,19,18,
5,20,0,
5,21,0,
5,22,0,
5,23,0,
5,24,0,
5,25,0,
5,26,0,
5,27,0,
5,28,10,
5,29,28,
5,30,28,
5,31,24,
5,32,24,
5,33,16,
5,34,24,
5,35,20,
5,36,26,
5,37,26,
5,38,18,
5,39,10,
5,40,6,
5,41,18,
5,42,26,
5,43,28,
5,44,26,
5,45,28,
5,46,22,
5,47,26,
5,48,26,
5,49,24,
5,50,28,538
6,1,0,
6,2,0,
6,3,0,
6,4,0,
6,5,0,
6,6,0,
6,7,0,
6,8,0,
6,9,0,
6,10,0,
6,11,0,
6,12,0,
6,13,0,
6,14,0,
6,15,8,
6,16,0,
6,17,0,
6,18,0,
6,19,0,
6,20,0,
6,21,6,
6,22,0,
6,23,6,
6,24,0,
6,25,0,
6,26,0,
6,27,28,
6,28,28,
6,29,26,
6,30,22,
6,31,28,
6,32,20,
6,33,28,
6,34,24,
6,35,14,
6,36,22,
6,37,24,
6,38,2,
6,39,14,
6,40,20,
6,41,16,
6,42,24,
6,43,24,
6,44,22,
6,45,26,
6,46,24,
6,47,26,
6,48,26,
6,49,28,
6,50,24,560
7,1,0,
7,2,16,
7,3,0,
7,4,0,
7,5,0,
7,6,2,
7,7,0,
7,8,0,
7,9,0,
7,10,0,
7,11,0,
7,12,0,
7,13,2,
7,14,0,
7,15,0,
7,16,8,
7,17,28,
7,18,26,
7,19,26,
7,20,26,
7,21,0,
7,22,0,
7,23,0,
7,24,10,
7,25,0,
7,26,0,
7,27,24,
7,28,24,
7,29,26,
7,30,10,
7,31,14,
7,32,20,
7,33,28,
7,34,10,
7,35,20,
7,36,20,
7,37,22,
7,38,26,
7,39,14,
7,40,26,
7,41,22,
7,42,24,
7,43,20,
7,44,24,
7,45,18,
7,46,22,
7,47,24,
7,48,28,
7,49,22,
7,50,24,656
8,1,0,
8,2,0,
8,3,0,
8,4,0,
8,5,0,
8,6,0,
8,7,0,
8,8,0,
8,9,0,
8,10,0,
8,11,24,
8,12,0,
8,13,0,
8,14,0,
8,15,0,
8,16,2,
8,17,18,
8,18,0,
8,19,14,
8,20,26,
8,21,0,
8,22,0,
8,23,0,
8,24,0,
8,25,0,
8,26,0,
8,27,26,
8,28,24,
8,29,26,
8,30,24,
8,31,16,
8,32,22,
8,33,26,
8,34,22,
8,35,20,
8,36,22,
8,37,0,
8,38,22,
8,39,16,
8,40,26,
8,41,22,
8,42,26,
8,43,26,
8,44,22,
8,45,20,
8,46,26,
8,47,26,
8,48,28,
8,49,24,
8,50,22,618
9,1,0,
9,2,0,
9,3,0,
9,4,0,
9,5,0,
9,6,0,
9,7,0,
9,8,2,
9,9,22,
9,10,0,
9,11,6,
9,12,0,
9,13,20,
9,14,28,
9,15,24,
9,16,14,
9,17,6,
9,18,6,
9,19,14,
9,20,12,
9,21,0,
9,22,0,
9,23,0,
9,24,0,
9,25,0,
9,26,2,
9,27,28,
9,28,28,
9,29,16,
9,30,26,
9,31,24,
9,32,20,
9,33,26,
9,34,26,
9,35,12,
9,36,28,
9,37,20,
9,38,24,
9,39,12,
9,40,20,
9,41,26,
9,42,26,
9,43,18,
9,44,28,
9,45,10,
9,46,24,
9,47,24,
9,48,26,
9,49,24,
9,50,20,692
10,1,0,
10,2,0,
10,3,0,
10,4,8,
10,5,0,
10,6,0,
10,7,0,
10,8,0,
10,9,0,
10,10,0,
10,11,0,
10,12,0,
10,13,2,
10,14,4,
10,15,0,
10,16,16,
10,17,26,
10,18,14,
10,19,26,
10,20,24,
10,21,0,
10,22,12,
10,23,0,
10,24,0,
10,25,4,
10,26,10,
10,27,28,
10,28,28,
10,29,24,
10,30,28,
10,31,18,
10,32,20,
10,33,4,
10,34,26,
10,35,26,
10,36,22,
10,37,28,
10,38,14,
10,39,22,
10,40,26,
10,41,20,
10,42,20,
10,43,26,
10,44,22,
10,45,28,
10,46,24,
10,47,24,
10,48,28,
10,49,26,
10,50,24,702
11,1,0,
11,2,0,
11,3,0,
11,4,0,
11,5,0,
11,6,0,
11,7,0,
11,8,0,
11,9,0,
11,10,0,
11,11,0,
11,12,2,
11,13,0,
11,14,0,
11,15,0,
11,16,0,
11,17,0,
11,18,2,
11,19,0,
11,20,0,
11,21,0,
11,22,0,
11,23,0,
11,24,0,
11,25,0,
11,26,0,
11,27,14,
11,28,0,
11,29,16,
11,30,28,
11,31,28,
11,32,28,
11,33,28,
11,34,16,
11,35,14,
11,36,22,
11,37,14,
11,38,22,
11,39,22,
11,40,14,
11,41,10,
11,42,14,
11,43,28,
11,44,28,
11,45,26,
11,46,22,
11,47,26,
11,48,26,
11,49,26,
11,50,24,500
12,1,0,
12,2,0,
12,3,0,
12,4,0,
12,5,6,
12,6,0,
12,7,0,
12,8,0,
12,9,0,
12,10,0,
12,11,0,
12,12,18,
12,13,0,
12,14,0,
12,15,0,
12,16,0,
12,17,0,
12,18,0,
12,19,0,
12,20,22,
12,21,0,
12,22,0,
12,23,0,
12,24,0,
12,25,0,
12,26,0,
12,27,28,
12,28,28,
12,29,28,
12,30,28,
12,31,20,
12,32,14,
12,33,14,
12,34,22,
12,35,20,
12,36,28,
12,37,26,
12,38,16,
12,39,22,
12,40,28,
12,41,28,
12,42,18,
12,43,26,
12,44,20,
12,45,24,
12,46,24,
12,47,16,
12,48,28,
12,49,24,
12,50,22,598
13,1,0,
13,2,16,
13,3,0,
13,4,0,
13,5,0,
13,6,0,
13,7,0,
13,8,0,
13,9,0,
13,10,0,
13,11,0,
13,12,0,
13,13,0,
13,14,18,
13,15,0,
13,16,2,
13,17,12,
13,18,16,
13,19,28,
13,20,8,
13,21,0,
13,22,0,
13,23,0,
13,24,0,
13,25,0,
13,26,0,
13,27,24,
13,28,18,
13,29,24,
13,30,22,
13,31,20,
13,32,14,
13,33,22,
13,34,18,
13,35,22,
13,36,24,
13,37,18,
13,38,26,
13,39,26,
13,40,12,
13,41,18,
13,42,18,
13,43,28,
13,44,26,
13,45,24,
13,46,28,
13,47,28,
13,48,26,
13,49,28,
13,50,26,640
14,1,0,
14,2,0,
14,3,0,
14,4,0,
14,5,22,
14,6,14,
14,7,0,
14,8,0,
14,9,0,
14,10,0,
14,11,0,
14,12,0,
14,13,0,
14,14,0,
14,15,0,
14,16,0,
14,17,0,
14,18,0,
14,19,0,
14,20,0,
14,21,0,
14,22,0,
14,23,0,
14,24,0,
14,25,0,
14,26,0,
14,27,0,
14,28,0,
14,29,0,
14,30,0,
14,31,0,
14,32,0,
14,33,0,
14,34,22,
14,35,0,
14,36,16,
14,37,28,
14,38,28,
14,39,28,
14,40,28,
14,41,26,
14,42,18,
14,43,24,
14,44,20,
14,45,24,
14,46,28,
14,47,28,
14,48,20,
14,49,18,
14,50,16,408
15,1,0,
15,2,0,
15,3,0,
15,4,0,
15,5,0,
15,6,0,
15,7,0,
15,8,4,
15,9,0,
15,10,0,
15,11,0,
15,12,2,
15,13,0,
15,14,0,
15,15,0,
15,16,0,
15,17,0,
15,18,0,
15,19,0,
15,20,0,
15,21,0,
15,22,0,
15,23,14,
15,24,0,
15,25,0,
15,26,0,
15,27,10,
15,28,26,
15,29,28,
15,30,26,
15,31,24,
15,32,24,
15,33,16,
15,34,18,
15,35,20,
15,36,26,
15,37,28,
15,38,8,
15,39,26,
15,40,16,
15,41,28,
15,42,26,
15,43,16,
15,44,22,
15,45,22,
15,46,26,
15,47,28,
15,48,28,
15,49,22,
15,50,24,558
